"tag","bake_id","order_index","content_sha256","output_hash_matches_baseline","load_seconds","ttft_seconds","decode_tokens_per_second","wall_seconds","aggregate_disk_read_gib","process_read_gib","page_fault_delta","expert_cache_requested","expert_cache_capacity","expert_cache_count","expert_cache_hits","expert_cache_misses","expert_cache_evictions","expert_cache_direct_loads","gpu_resident_routes_calls","gpu_resident_routes_worker_jobs","gpu_resident_routes_miss_experts","gpu_resident_routes_wait_ms_per_call","gpu_resident_routes_cache_count","gpu_resident_routes_cache_calls","gpu_resident_routes_cache_hits","gpu_resident_routes_cache_misses","gpu_resident_routes_cache_admissions","gpu_resident_routes_cache_evictions","gpu_resident_routes_cache_direct_loads","gpu_dedicated_peak_gib","vram_used_peak_mib","process_isolation_conflict_count","contamination_abort_observed"
"g62_sparse_bake_k60_gpu_cache_a","K60","1","ceced6c1b481bb2c6f68bd116c06e554502017a44b40b4e5e6bc9fc5d710edc7","True","11,219795","18,293","2,11","49,014433","31,995416","91,819531","175514","320","320","0","0","0","0","0","2752","2734","10082","7,446","320","2795","6430","12835","12835","12515","0","10,76321","11726","0","False"
"g62_sparse_bake_k60_gpu_cache_b","K60","2","ceced6c1b481bb2c6f68bd116c06e554502017a44b40b4e5e6bc9fc5d710edc7","True","10,169163","18,173","2,13","48,577559","35,104319","91,819531","175508","320","320","0","0","0","0","0","2752","2734","10082","7,341","320","2795","6430","12835","12835","12515","0","10,76321","11709","0","False"
"g62_sparse_bake_k60_gpu_cache_c","K60","3","ceced6c1b481bb2c6f68bd116c06e554502017a44b40b4e5e6bc9fc5d710edc7","True","10,197356","18,047","2,13","48,528394","34,305057","91,819531","175515","320","320","0","0","0","0","0","2752","2734","10082","7,369","320","2795","6430","12835","12835","12515","0","10,76321","11707","0","False"
