"tag","bake_id","order_index","content_sha256","output_hash_matches_g63_baseline","load_seconds","ttft_seconds","decode_tokens_per_second","wall_seconds","aggregate_disk_read_gib","process_read_gib","page_fault_delta","dynamic_arena_gib_requested","dynamic_arena_allocated_slots","arena_wrap_schedule_requested","arena_wrap_schedule_observed","arena_wrap_checksum_observed","arena_wrap_profile_loads","arena_wrap_profile_workers","arena_wrap_profile_total_seconds","arena_wrap_file_qd_requested","prefill_mass_wrap_candidate_entries","prefill_mass_wrap_loads","prefill_mass_wrap_resident_after","prefill_mass_wrap_seconds","prefill_mass_wrap_mask","prefill_mass_compose_total_candidate","prefill_mass_compose_sparse_skipped_ranked","prefill_mass_compose_mask_base","prefill_mass_compose_mask_existing_layers","prefill_mass_compose_mask_restore_count","prefill_mass_compose_mask_failed_count","expert_cache_requested","expert_cache_capacity","expert_cache_count","expert_tiering_requested","expert_tier_policy_requested","expert_tier_clock_calls_requested","expert_tier_replacement_budget_requested","expert_tier_min_frequency_requested","expert_tier_hysteresis_requested","tier_compose_prefill_mass_tiering_observed","tier_states_vram","tier_vram_hits","tier_ram_hits","tier_ram_h2d_gib","tier_snapshot_backing_misses","tier_forbidden_cold_ssd_to_vram","tier_failures","tier_ssd_bytes","expert_cache_hits","expert_cache_misses","expert_cache_evictions","expert_cache_direct_loads","gpu_resident_routes_calls","gpu_resident_routes_worker_jobs","gpu_resident_routes_miss_experts","gpu_resident_routes_default_sync_calls","gpu_resident_routes_no_default_sync_calls","gpu_resident_routes_wait_ms_per_call","gpu_resident_routes_cache_count","gpu_resident_routes_cache_calls","gpu_resident_routes_cache_hits","gpu_resident_routes_cache_misses","gpu_resident_routes_cache_admissions","gpu_resident_routes_cache_evictions","gpu_resident_routes_cache_direct_loads","gpu_dedicated_peak_gib","vram_used_peak_mib","process_isolation_conflict_count","contamination_abort_observed"
"g63_sparse_bake_k60_g46_composite_a","K60","1","4aaf0f0813f4cb15ac21a88f195f4f7d2c2af797e81524935e22eea60603c6b1","True","14,277951","42,914","4,55","57,384484","50,632518","25,361035","18166582","30","4551","source-parts","source-parts","fnv1a64-worker-only","4551","8","24,071","1","4551","4551","4551","24,071","request-scoped-closed","4551","1579","embedded-sparse-bake","40","1","0","320","320","0","enforce","mass-lfru","430","16","3","1,25","True","320","5531","10981","72,384521","0","0","0","0","0","0","0","0","2752","2735","10981","0","2752","4,386","320","2752","5531","10981","416","96","0","10,865002","11664","0","False"
"g63_sparse_bake_k60_g46_composite_b","K60","2","4aaf0f0813f4cb15ac21a88f195f4f7d2c2af797e81524935e22eea60603c6b1","True","11,718855","42,25","4,55","56,700469","48,715912","25,361035","18272204","30","4551","source-parts","source-parts","fnv1a64-worker-only","4551","8","23,239","1","4551","4551","4551","23,239","request-scoped-closed","4551","1579","embedded-sparse-bake","40","1","0","320","320","0","enforce","mass-lfru","430","16","3","1,25","True","320","5531","10981","72,384521","0","0","0","0","0","0","0","0","2752","2735","10981","0","2752","4,386","320","2752","5531","10981","416","96","0","10,865002","11653","0","False"
"g63_sparse_bake_k60_g46_composite_c","K60","3","4aaf0f0813f4cb15ac21a88f195f4f7d2c2af797e81524935e22eea60603c6b1","True","12,772336","42,792","4,56","57,215972","50,471692","25,361035","17386046","30","4551","source-parts","source-parts","fnv1a64-worker-only","4551","8","23,85","1","4551","4551","4551","23,85","request-scoped-closed","4551","1579","embedded-sparse-bake","40","1","0","320","320","0","enforce","mass-lfru","430","16","3","1,25","True","320","5531","10981","72,384521","0","0","0","0","0","0","0","0","2752","2735","10981","0","2752","4,385","320","2752","5531","10981","416","96","0","10,865002","11645","0","False"
