"tag","bake_id","order_index","content_sha256","output_hash_matches_baseline","load_seconds","ttft_seconds","decode_tokens_per_second","wall_seconds","aggregate_disk_read_gib","process_read_gib","page_fault_delta","dynamic_arena_gib_requested","prefill_mass_wrap_candidate_entries","prefill_mass_wrap_loads","prefill_mass_wrap_resident_after","prefill_mass_wrap_seconds","dynamic_arena_final_hits","dynamic_arena_final_misses","dynamic_arena_h2d_uploaded_gib","gpu_dedicated_peak_gib","vram_used_peak_mib","process_isolation_conflict_count","contamination_abort_observed"
"g61_sparse_bake_k60_arena_a","K60","1","ceced6c1b481bb2c6f68bd116c06e554502017a44b40b4e5e6bc9fc5d710edc7","True","11,655826","36,322","2,53","62,021148","37,531124","68,148388","8043130","30","2322","2322","2322","17,172","12343","4169","81,36","8,712559","9563","0","False"
"g61_sparse_bake_k60_arena_b","K60","2","ceced6c1b481bb2c6f68bd116c06e554502017a44b40b4e5e6bc9fc5d710edc7","True","11,665518","39,267","2,35","66,871884","34,494721","68,148388","8043127","30","2322","2322","2322","17,209","12343","4169","81,36","8,712559","9507","0","False"
"g61_sparse_bake_k60_arena_c","K60","3","ceced6c1b481bb2c6f68bd116c06e554502017a44b40b4e5e6bc9fc5d710edc7","True","11,66614","38,541","2,26","67,223832","37,335721","68,148388","8043137","30","2322","2322","2322","17,086","12343","4169","81,36","8,712559","9468","0","False"
